PAÍS,ACRÓNIMO,CATEGORÍA,NOTICIA,IMPACTO,FECHA,LINK
ALEMANIA,BND,Inteligencia,"Verfassungsschutz: Russland sieht Deutschland laut BfV ""mitunter als Feind Nummer eins"" - DIE ZEIT",MEDIO,19/03 9:19,https://news.google.com/rss/articles/CBMivwFBVV95cUxQTjZueGhIbUI5UU52QUxOZGJEbUduZGNIWS1XRHVzcFJ6a0p5WkkyV3IzcVdKZkNBc3hFeHAyVm03d3FfYnpFY3BtZXpDbFllRmZBOGE2d2p6ckktcEcyM1hmOVVEeEpoRDJNUURnTDBkeGFZUTZwUkRLUVJDdk1IQXFGdUU5UzZ6SUFiZzdKZjJxYWxLYVJCdTMwYkRWZDNvUk1uc25XSGxGbl9kX1FoUlNWaDh2VVNzaDd0amxiUQ?oc=5
ALEMANIA,BND,Inteligencia,Geheimdienst: BSW wieder in Kommission für Verfassungsschutz vertreten - STERN.de,MEDIO,19/03 9:14,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNWmFGakJhY0t3eWpqLVQzVjZLdWxGUERXQVRfWkRuWGFjT2J5MVVzX25GVVRzYXctX1F1QktPd1o5MWN1SGtETHVjaVM4M1NubkstTFJveFJ2a0VfTEd5cUNXS0Q0UEFucGdCdm9zYTMxR2xqeEVPXzNYRjM3LTlKcjRSeVgzUWhfX2szazRRN1NKNzVhM2lXSV9NcHU2ZDRTdXlkQzk4bXNyc3RvcThNQmkxVEw5dE9vUjR5elB5UU5HNFlQSEZ1dVM2SjBONVUxanhrUGxyYXBVUFo0aFJUVQ?oc=5
ALEMANIA,BND,Seguridad estratégica,Sabotage und Spionage: BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Tagesspiegel,ALTO,19/03 8:23,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQTHZNVG5sOW9sakZGdE9DbVhKcjBhRVdJNXpZdzVZeUZfTkhfeHhPTjJwcGdrSnJhVFF1ZTlvRUxMMnhGLTdiSGZZVlg3anNNWjFJYUVKWDFaMTFlRW1VSEdqdmctRVJaRGF1NEVBSnZCRUxtWXo5UU5JMHlheUFhNEszRklVMnZRQVM1RkRNd2s3ZFA5ZWxLRHpMVTdWN3Z3dkV3VU1qNUpDdEVSTFhYNndERnRYRWpoU1E3SURlaTZhdUlES3Uycw?oc=5
ALEMANIA,BND,Inteligencia,BfV sieht «mehr Risikoappetit» bei ausländischen Angreifern - T-Online,MEDIO,19/03 7:00,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQ0p2LVJLM3dCdk84dWhZQTg1VzNkdzhiNDViNnRiZnFLQ25GdzlOWEQwdjZZZENTemRNMkthVkRxbk9ac1oxRnpCTXJnaXdaMzgyUlotMXNvOVV6ek94M0VhYTJzbnltTlhEbGdXYWFOYkF4RjdjbUw5b3V1U0ZlSFNrT0I1dEc4YVAtMmV2LXpwVXBtSTh4Y29oaDItWUNwRUd2Q3pOcW9NS041dm5MTW9wM2JxejREbmU3QnZnUXY0UQ?oc=5
ALEMANIA,BND,Inteligencia,CDU: Verfassungsschutz soll Linke-Beschluss prüfen - noz.de,MEDIO,19/03 11:39,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPdEtadDdPazIzeEpMZjM3TUlzcHVTaWJ6WFRoSDdXVDQ3SEJ2UWwxVU5zb0tmNXJCR19fbVRZa3pGbUd5WnJLTkRDOS1HMDFLUF9GaEZyU0dESE9BUUhWTnU4Q1gxOE84T3d4TTliRnJScjMzaWRjOUtXaFJtejRmVXFkdmt1bmJONGZzWDNiNVQyamRXMzdWZjE1MjFFNUlFN3pGR1JpR21Yd3p1TGNrSDlITmNsblZh?oc=5
ALEMANIA,BND,Inteligencia,Gefahr für Deutschland eskaliert: Verfassungsschutz warnt vor „Tötungsoperationen“ - Express,MEDIO,19/03 7:40,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPQ2h6UDhld21JV21TbUZCODVTNFEwYl9rc1I3bUVGeDItTE10U2FvZW5MSUs5OHByRDcwcmFiQXFSYzFiSmd1MVlLTDFDUTNPWG5rdGxPSmFzcWdFY25TZGZkMTBaMjBoVVNjTVdPVS1JYU9XNkw3T2k4c0RrWnRUNW51RGVpeThKaVQ4OFdhR3E1T0E4VzNkY21fTXJleTlGS2VBQ2RVLVdKZ3JiTHh4ZDl5SE9mc2VkNzZPc205OEhCZXExbmx3ZVZQSVkxZks2eHRoSlktMnd0YkFyV21IaE5KdkZQZWxGT0E?oc=5
ALEMANIA,BND,Inteligencia,BfV sieht „mehr Risikoappetit“ bei ausländischen Angreifern - Westdeutsche Zeitung,MEDIO,19/03 7:09,https://news.google.com/rss/articles/CBMiqAFBVV95cUxObjhiRXV3SUtPaFlDYU8weTU4UjItYmlMQmFleTg5bnpMSy0ya21Ubjg5cDBidEo2THMxT1VmaF9aWEpNcV9pWjVJeVpxaW5xd3ZsN3k0VW92YVl4OVRpNGxBR0Z6cF9XdUJHOFBuY0ZjdnNlSDRoZUNCdC1wbUNtSEI0UW9kZ0NPSkdiWm1XSXl1akJPdnR6bWdvZHdPSE5BMjVOUWlQejU?oc=5
ALEMANIA,BND,Inteligencia,Nachrichtendienste: Wird der Verfassungsschutz bald das deutsche FBI? - T-Online,MEDIO,19/03 12:10,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOdm9wOG0ycFJKRFgwYllLNE1hMWx0dk81Z0tocVdpLTRXb0F3U0FNYU96WXAzZkI0WGVyV3BObDJ2bEVEaF9uVVBKV0dhc0ZFcFczaVh1TjQ5dm5JYkJ1S0FCZG1yb0RNRm5kdHFiY2VlS0hXSW5uUzFvMnJsVzE0aUNWbWx6bTVqMnlreDAyM0VidkdXTkdKdW5NS3otOGE1Sk5JdDFQNWN6dE5NelhPOHFoS2hvOUdJbU5XREdWWEMyU2k5SFBCUV9hcWJxeXBjcDhibjREaGRwaTNub1IwTw?oc=5
ALEMANIA,BND,Ciberinteligencia,"France, Germany, Russia High-ranking BND official falls victim to Russian phishing campaign on Signal and WhatsApp - Intelligence Online",MEDIO,18/03 2:02,https://news.google.com/rss/articles/CBMi9wFBVV95cUxQZkJYaGxwTWdjQmNueXB2N2x2LWtma0JvMXFXM1ZpZExKd0kyS3Zvb3BtbnV4MGFaTjRTaW9lc2dxLXVBU2xCMFdqbVdtREgzaGFGb1Z1bzBfa3h1MzREaFpULU1XcUNZczNURjdFSlpKSnItX3JlYmVIMjlKM1Y2YWp6YkYxSzJWMU55d2xkNGgwM180MlVtV2g5d0dNLUNRNDBWYkgzY0E1VWNzc1ljMDlsX3hEUXVyc0NGMWVmNjhvM09oLXFQSTJGNGVEMWRuYWJDZ051SHJBalFtLVFIZXBNVHp3d282ajBfS1ozOG4tUE5uTG9N?oc=5
BOLIVIA,DNI,Inteligencia,La directora de Inteligencia Nacional de EE.UU. asegura que Irán continúa representando una amenaza - Escenario Mundial,MEDIO,18/03 18:42,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOUDQ0bWU4OVY2YlppSHQ4ajZLV1g2THBXTkVaWm9USnFYY0hRZnFrd2hzdk1kRU16NE5TN0xJVWpOeVl2MDk4LVZQSWdTWkhUSF9Ja1RxUzFxWmRmczZrRkdXa2I2RXI4R0RRME96aVNxVGViU0FKQlFUWkgzVGU2ZHRkTVZWeHNYNFRrZ2QzSkJxSWI2QndvMDVDZmFMS2ZiSTl4YW9FUEtWZ3NLN0JNLXVyMDZfSDV2VlRTUV9Pdm5OdlVIdV9UaHJiSm1hMFgxYnVGWV8yVFhYeWc?oc=5
